Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0147 rad, Error Angle: -0.0147 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0103 rad, Error Angle: -0.0103 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0103 rad, Error Angle: -0.0103 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0066 rad, Error Angle: -0.0066 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0107 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0074 rad, Error Angle: -0.0074 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0107 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0107 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0147 rad, Error Angle: -0.0147 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0107 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0133 rad, Error Angle: -0.0133 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: -0.0258 rad, Error Angle: 0.0258 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0133 rad, Error Angle: -0.0133 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0081 rad, Error Angle: -0.0081 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0081 rad, Error Angle: -0.0081 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0074 rad, Error Angle: -0.0074 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0107 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0107 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0140 rad, Error Angle: -0.0140 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0107 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0063 rad, Error Angle: -0.0063 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0107 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0066 rad, Error Angle: -0.0066 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0081 rad, Error Angle: -0.0081 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0110 rad, Error Angle: -0.0110 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0096 rad, Error Angle: -0.0096 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0092 rad, Error Angle: -0.0092 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0103 rad, Error Angle: -0.0103 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0070 rad, Error Angle: -0.0070 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0107 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0077 rad, Error Angle: -0.0077 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0155 rad, Error Angle: -0.0155 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
